ERROR 2025-11-04 16:17:19,769 user_events Connection error: 
INFO 2025-11-04 18:35:52,554 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:36:39,534 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:37:26,530 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:38:13,546 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:39:00,561 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:39:47,082 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:40:33,714 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:41:20,331 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:42:06,902 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:42:53,440 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:43:40,024 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:44:26,672 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:45:13,241 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:45:59,828 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:46:46,467 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:47:33,086 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:48:19,717 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:49:06,466 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:49:53,191 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:50:39,799 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:51:27,194 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:52:13,747 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:53:00,416 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:53:47,678 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:54:34,672 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:55:22,065 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:56:08,914 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:56:55,450 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:57:42,521 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:58:29,602 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:59:16,748 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:00:03,809 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:00:51,576 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:01:38,135 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:02:24,665 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:03:11,296 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:03:58,002 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:04:44,779 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:05:31,352 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:06:18,572 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:07:05,555 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:07:52,914 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:08:39,491 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:09:26,135 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:10:12,925 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:10:59,615 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:11:46,036 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:12:32,491 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:13:18,946 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:14:05,445 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:14:51,919 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:15:38,465 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:16:24,904 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:17:11,410 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:17:57,875 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:18:44,381 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 19:19:30,844 django.server "GET /openapi.json HTTP/1.1" 200 3587
